company_name,url,source,hub_name,hub_type,company_number,postcode,ch_status,sic_code,company_size,incorporated,last_accounts,address,ch_validated,ch_match_score,ch_match_name,ch_concern,has_url,description,sector_tags,stage,tech_keywords,employee_est,hiring_status,founded_year,careers_url,has_careers_page,role_count,roles_json,contact_email,apply_url,careers_summary
XO1,https://www.xo1.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"XO1 operates in the imaging or optical technology space, focused on advanced sensor or imaging solutions for specialized applications in Cambridge's tech ecosystem.","[""photonics"", ""hardware""]",unknown,"imaging, optical systems, sensors",11-50,no_info,,,False,0,[],,,No publicly available careers page information found.
BlueGnome,https://www.bluegnome.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,BlueGnome developed genetic analysis and diagnostics solutions before being acquired by Illumina in 2007. The company was a pioneer in array-based genomic diagnostics for cytogenomics applications.,"[""genomics"", ""diagnostics""]",established,"genomic analysis, microarrays, cytogenomics",51-200,no_info,2005.0,,False,0,[],,,Acquired by Illumina; likely no independent hiring.
Cambridge CMOS Sensors,https://www.cmossensors.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Cambridge CMOS Sensors develops advanced CMOS imaging and sensor technology for diverse applications including automotive, industrial, and scientific imaging. The company specializes in next-generation image sensors.","[""semiconductors"", ""hardware""]",startup,"CMOS sensors, imaging technology, semiconductor design",51-200,possibly_hiring,,,False,0,[],,,Early-stage semiconductor company; hiring status unclear.
Centessa,https://www.centessa.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Centessa is a biopharmaceutical company developing innovative therapeutics for serious diseases. The company focuses on translating scientific discoveries into clinical treatments across multiple therapeutic areas.,"[""biotech"", ""pharma"", ""drug discovery""]",scaleup,"therapeutics, drug development, clinical research",200-1000,actively_hiring,2021.0,,False,0,[],,,Biopharmaceutical company likely actively recruiting for R&D roles.
Gyroscope,https://www.gyroscopetx.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Gyroscope Therapeutics develops innovative treatments focusing on delivering next-generation therapeutics. The company works on advancing treatment modalities for serious medical conditions.,"[""biotech"", ""pharma"", ""healthtech""]",scaleup,"therapeutics, clinical development, molecular medicine",51-200,possibly_hiring,,,False,0,[],,,Therapeutic company with potential openings in clinical and research areas.
Solexa,https://www.solexa.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Solexa was a groundbreaking sequencing technology company acquired by Illumina in 2007. It pioneered the development of next-generation sequencing platforms that revolutionized genomic research.,"[""genomics"", ""biotech""]",established,"DNA sequencing, NGS technology, genomic analysis",200-1000,no_info,1998.0,,False,0,[],,,Acquired by Illumina in 2007; no longer independent.
Quethera,https://www.quethera.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Quethera is a biopharmaceutical company developing targeted therapies and innovative treatment approaches. The company focuses on advancing precision medicine solutions.,"[""biotech"", ""pharma""]",startup,"drug discovery, therapeutic development, precision medicine",11-50,possibly_hiring,,,False,0,[],,,Private biotech company; limited public careers information.
VocalIQ,https://www.vocaliq.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,VocalIQ was an AI and natural language processing company focused on conversational AI and voice technology. It was acquired by Apple in 2015 for its advanced NLP capabilities.,"[""AI/ML"", ""NLP""]",established,"NLP, conversational AI, voice recognition",11-50,no_info,2010.0,,False,0,[],,,Acquired by Apple in 2015; no independent operations.
8power,https://www.8power.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"8power develops energy technology solutions, likely focusing on power management, energy efficiency, or renewable energy applications for modern technology systems.","[""cleantech"", ""hardware""]",startup,"energy technology, power systems, efficiency",11-50,no_info,,,False,0,[],,,Energy technology company; hiring status unknown.
Accelerated Materials,https://www.acceleratedmaterials.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,Accelerated Materials uses computational and AI-driven approaches to accelerate the discovery and development of advanced materials. The company applies machine learning to materials science.,"[""AI/ML"", ""deep learning""]",startup,"materials discovery, machine learning, computational chemistry",11-50,actively_hiring,,,False,0,[],,,Materials science startup; likely actively seeking engineers and scientists.
AEMS,https://www.aems.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"AEMS is an engineering and professional services company providing expertise in advanced engineering, manufacturing, and systems design for technology and industrial clients.","[""consulting"", ""hardware""]",established,"engineering consulting, manufacturing, systems design",51-200,possibly_hiring,,,False,0,[],,,Engineering consulting firm; hiring status unclear.
Aetosense,https://www.aetosense.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Aetosense develops sensor and monitoring technologies, likely for environmental or industrial applications. The company specializes in advanced sensing solutions.","[""hardware"", ""IoT""]",startup,"sensors, monitoring systems, IoT",11-50,no_info,,,False,0,[],,,Sensing technology company; limited public careers information.
AllFocal Optics,https://www.allfocaloptics.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"AllFocal Optics develops advanced optical technologies and solutions, potentially for imaging, telecommunications, or industrial applications.","[""photonics"", ""hardware""]",startup,"optics, optical engineering, imaging systems",11-50,no_info,,,False,0,[],,,Optical technology startup; hiring information not publicly available.
Aqdot,https://www.aqdot.com,hub,Cambridge Enterprise,Academic Commercialization,,,,,,,,,False,,,False,True,"Aqdot develops quantum technology solutions, likely for quantum sensing or quantum computing applications. The company works on practical implementations of quantum physics.","[""quantum computing""]",startup,"quantum technology, quantum sensing, quantum systems",11-50,possibly_hiring,,,False,0,[],,,Quantum technology company; likely seeking PhDs and researchers.
